matrix_id,mean_kernel_execution_time,min_kernel_execution_time,max_kernel_execution_time,mse_kernel_execution_time,stddev_kernel_execution_time
ASIC_680ks,58.353667,57.812000,59.104000,0.142536,0.377540
FullChip,14.498500,14.425000,14.581000,0.003173,0.056326
Ga41As41H72,0.750667,0.747000,0.756000,0.000007,0.002667
Rucci1,0.716611,0.712000,0.721000,0.000006,0.002475
Si41Ge41H72,0.608444,0.603000,0.613000,0.000008,0.002813
boyd2,0.131222,0.129000,0.134000,0.000002,0.001356
eu-2005,1.801722,1.797000,1.810000,0.000011,0.003330
ldoor,2.254611,2.243000,2.263000,0.000022,0.004727
rajat31,1.918222,1.909000,1.926000,0.000018,0.004184
webbase-1M,0.339000,0.334000,0.342000,0.000005,0.002160
