matrix_id,mean_kernel_execution_time,min_kernel_execution_time,max_kernel_execution_time,mse_kernel_execution_time,stddev_kernel_execution_time
ASIC_680ks,0.209889,0.190000,0.223000,0.000117,0.010826
FullChip,2.313889,2.302000,2.330000,0.000155,0.012432
Ga41As41H72,0.642333,0.640000,0.645000,0.000002,0.001414
Rucci1,0.681556,0.679000,0.684000,0.000002,0.001423
Si41Ge41H72,0.512333,0.510000,0.515000,0.000002,0.001453
boyd2,0.078500,0.076000,0.082000,0.000004,0.001893
eu-2005,1.391167,1.386000,1.398000,0.000011,0.003387
ldoor,1.716944,1.712000,1.722000,0.000006,0.002460
rajat31,1.818500,1.816000,1.821000,0.000004,0.002034
webbase-1M,0.286389,0.284000,0.289000,0.000002,0.001496
