matrix_id,mean_kernel_execution_time,min_kernel_execution_time,max_kernel_execution_time,mse_kernel_execution_time,stddev_kernel_execution_time
ASIC_680ks,0.663389,0.608000,0.697000,0.001179,0.034332
FullChip,12.746944,12.430000,13.083000,0.042999,0.207362
Ga41As41H72,0.361333,0.357000,0.366000,0.000006,0.002427
Rucci1,2.034722,2.024000,2.045000,0.000033,0.005762
Si41Ge41H72,0.268167,0.262000,0.275000,0.000007,0.002693
boyd2,0.386667,0.381000,0.390000,0.000009,0.003055
eu-2005,1.113222,1.104000,1.120000,0.000022,0.004649
ldoor,1.173056,1.164000,1.178000,0.000015,0.003894
rajat31,4.787000,4.779000,4.798000,0.000029,0.005395
webbase-1M,1.036500,1.032000,1.038000,0.000003,0.001708
