matrix_id,mean_kernel_execution_time,min_kernel_execution_time,max_kernel_execution_time,mse_kernel_execution_time,stddev_kernel_execution_time
ASIC_680ks,1.807833,1.624000,2.215000,0.024640,0.156973
FullChip,0.429944,0.395000,0.444000,0.000252,0.015862
Ga41As41H72,0.158333,0.154000,0.162000,0.000005,0.002309
Rucci1,0.175056,0.171000,0.183000,0.000008,0.002778
Si41Ge41H72,0.138444,0.133000,0.145000,0.000011,0.003304
boyd2,0.048944,0.045000,0.055000,0.000008,0.002818
eu-2005,0.276500,0.272000,0.284000,0.000015,0.003933
ldoor,0.327222,0.322000,0.333000,0.000009,0.003065
rajat31,0.394056,0.389000,0.403000,0.000013,0.003674
webbase-1M,0.096167,0.093000,0.098000,0.000002,0.001500
