matrix_id,mean_kernel_gflops,min_kernel_gflops,max_kernel_gflops,mse_kernel_gflops,stddev_kernel_gflops
ASIC_680ks,0.110056,0.022000,0.158000,0.001578,0.039728
FullChip,3.672333,3.652000,3.691000,0.000200,0.014138
Ga41As41H72,24.988111,24.813000,25.097000,0.007238,0.085077
Rucci1,21.747778,21.625000,21.887000,0.005169,0.071897
Si41Ge41H72,24.975778,24.804000,25.182000,0.012435,0.111513
boyd2,13.561667,13.271000,13.842000,0.021848,0.147809
eu-2005,21.352333,21.254000,21.404000,0.001456,0.038153
ldoor,21.057000,20.977000,21.164000,0.001867,0.043206
rajat31,21.182333,21.099000,21.284000,0.002134,0.046194
webbase-1M,18.322944,18.142000,18.604000,0.014141,0.118917
