matrix_id,mean_kernel_gflops,min_kernel_gflops,max_kernel_gflops,mse_kernel_gflops,stddev_kernel_gflops
ASIC_680ks,22.259667,20.868000,24.458000,1.428613,1.195246
FullChip,23.013667,22.855000,23.130000,0.014758,0.121483
Ga41As41H72,29.198389,29.075000,29.307000,0.004321,0.065735
Rucci1,22.863889,22.780000,22.952000,0.002385,0.048840
Si41Ge41H72,29.661778,29.504000,29.801000,0.007459,0.086363
boyd2,22.738778,21.731000,23.493000,0.315495,0.561689
eu-2005,27.659056,27.523000,27.746000,0.004315,0.065689
ldoor,27.646722,27.564000,27.728000,0.001640,0.040497
rajat31,22.348667,22.317000,22.380000,0.000662,0.025725
webbase-1M,21.710222,21.509000,21.897000,0.013518,0.116268
