matrix_id,mean_kernel_gflops,min_kernel_gflops,max_kernel_gflops,mse_kernel_gflops,stddev_kernel_gflops
ASIC_680ks,7.043167,6.681000,7.667000,0.141267,0.375855
FullChip,4.178111,4.070000,4.284000,0.004641,0.068124
Ga41As41H72,51.919556,51.263000,52.512000,0.109468,0.330859
Rucci1,7.658000,7.620000,7.698000,0.000447,0.021150
Si41Ge41H72,56.682278,55.318000,57.979000,0.316933,0.562968
boyd2,4.604500,4.563000,4.668000,0.001300,0.036059
eu-2005,34.556056,34.356000,34.838000,0.019873,0.140972
ldoor,40.476000,40.285000,40.802000,0.019019,0.137909
rajat31,8.488167,8.469000,8.503000,0.000091,0.009552
webbase-1M,5.991889,5.981000,6.016000,0.000097,0.009837
