matrix_id,mean_kernel_gflops,min_kernel_gflops,max_kernel_gflops,mse_kernel_gflops,stddev_kernel_gflops
ASIC_680ks,2.595389,2.103000,2.868000,0.046749,0.216215
FullChip,123.945778,119.807000,134.705000,23.289435,4.825913
Ga41As41H72,118.710944,115.930000,122.113000,3.169448,1.780294
Rucci1,88.983167,85.012000,91.121000,2.026143,1.423427
Si41Ge41H72,109.635500,104.512000,114.159000,7.114357,2.667275
boyd2,36.383556,32.194000,39.510000,4.450227,2.109556
eu-2005,139.080111,135.627000,141.235000,3.183364,1.784198
ldoor,145.247444,142.652000,147.650000,1.938642,1.392351
rajat31,103.059944,100.711000,104.422000,0.951299,0.975345
webbase-1M,64.428778,63.182000,66.654000,1.067339,1.033121
