matrix,total_bandwidth_pct,dram_bytes_mb,cache_bytes_mb,sm_throughput_pct
ASIC_680ks,9.900000,61.980000,175.824902,43.260000
FullChip,14.500000,614.240000,1520.982188,58.760000
Ga41As41H72,35.275000,124.490000,286.613867,42.330000
Rucci1,43.220000,167.580000,374.991016,57.185000
Si41Ge41H72,58.845000,114.400000,252.052881,36.000000
boyd2,36.875000,552.070000,136.232500,30.220000
eu-2005,2.305000,198.920000,56.443574,21.430000
ldoor,15.070000,346.640000,908.889980,46.785000
rajat31,12.835000,416.540000,1012.169893,63.660000
webbase-1M,7.080000,313.060000,887.892012,28.150000
