matrix,total_bandwidth_pct,dram_bytes_mb,cache_bytes_mb,sm_throughput_pct
ASIC_680ks,14.730000,30.140000,64.217305,49.960000
FullChip,0.600000,69.030000,154.816416,0.110000
Ga41As41H72,73.130000,260.020000,629.111680,51.440000
Rucci1,4.800000,721.920000,2.752031,4.770000
Si41Ge41H72,5.970000,1.530000,13.868936,14.660000
boyd2,28.210000,65.710000,158.439668,30.440000
eu-2005,14.330000,12.170000,23.707168,43.370000
ldoor,12.950000,171.140000,430.731406,63.830000
rajat31,25.000000,113.170000,265.178721,28.690000
webbase-1M,76.350000,202.030000,424.683125,67.970000
