matrix,total_bandwidth_pct,dram_bytes_mb,cache_bytes_mb,sm_throughput_pct
ASIC_680ks,10.890000,1.180000,2.744590,1.910000
FullChip,54.430000,25.840000,52.244639,38.850000
Ga41As41H72,18.900000,6.600000,23.374834,16.690000
Rucci1,25.420000,81.570000,206.646816,31.210000
Si41Ge41H72,4.960000,94.860000,333.827334,35.660000
boyd2,13.920000,64.980000,159.505537,63.970000
eu-2005,14.800000,12.740000,24.368174,43.660000
ldoor,29.220000,103.330000,247.863809,24.760000
rajat31,74.220000,164.270000,369.600898,65.410000
webbase-1M,12.170000,2.370000,8.856484,11.270000
