matrix,total_bandwidth_pct,dram_bytes_mb,cache_bytes_mb,sm_throughput_pct
ASIC_680ks,2.540000,450.690000,4.893037,7.920000
FullChip,2.660000,311.660000,986.871289,8.830000
Ga41As41H72,13.640000,80.490000,204.819990,63.350000
Rucci1,13.690000,86.260000,198.850928,55.380000
Si41Ge41H72,13.710000,65.130000,153.528516,64.200000
boyd2,0.810000,536.580000,1.718965,0.130000
eu-2005,42.560000,10.460000,21.337979,29.280000
ldoor,9.340000,1.780000,7.625537,10.360000
rajat31,19.600000,211.750000,529.660527,32.240000
webbase-1M,14.030000,237.570000,642.600986,57.550000
