matrix_id,mean_preprocessing_time_percentage,min_preprocessing_time_percentage,max_preprocessing_time_percentage,mse_preprocessing_time_percentage,stddev_preprocessing_time_percentage
ASIC_680ks,16.680944,3.879337,23.107549,30.272362,5.502033
FullChip,75.840883,74.954016,77.597133,0.538682,0.733950
Ga41As41H72,94.323639,93.219265,98.336155,2.223973,1.491299
Rucci1,97.016259,96.922154,97.151508,0.006490,0.080562
Si41Ge41H72,93.552010,93.132272,93.951653,0.077898,0.279103
boyd2,97.757409,97.633896,97.879177,0.004653,0.068212
eu-2005,93.736877,93.439872,94.124548,0.035710,0.188970
ldoor,93.965061,93.485615,95.825153,0.271805,0.521349
rajat31,96.622493,96.435429,97.300073,0.035177,0.187557
webbase-1M,97.259240,97.101943,97.415248,0.008748,0.093530
