matrix_id,mean_preprocessing_time_percentage,min_preprocessing_time_percentage,max_preprocessing_time_percentage,mse_preprocessing_time_percentage,stddev_preprocessing_time_percentage
ASIC_680ks,95.327035,94.997716,95.890916,0.054698,0.233876
FullChip,93.267353,92.827780,94.046036,0.096103,0.310005
Ga41As41H72,94.238623,93.195266,95.151834,0.130300,0.360971
Rucci1,94.539881,94.081810,95.351212,0.117464,0.342730
Si41Ge41H72,94.410574,93.954094,94.760449,0.061761,0.248518
boyd2,96.589682,96.232877,96.844566,0.028946,0.170135
eu-2005,93.803201,93.377483,94.304133,0.056320,0.237318
ldoor,93.919950,93.523522,94.672689,0.081227,0.285004
rajat31,93.927166,92.009845,95.476849,0.394830,0.628355
webbase-1M,94.886680,94.259147,95.301794,0.091073,0.301783
