matrix_id,mean_preprocessing_time_percentage,min_preprocessing_time_percentage,max_preprocessing_time_percentage,mse_preprocessing_time_percentage,stddev_preprocessing_time_percentage
ASIC_680ks,0.923346,0.917162,0.931196,0.000021,0.004533
FullChip,0.789839,0.782435,0.805216,0.000046,0.006748
Ga41As41H72,0.971349,0.969517,0.975542,0.000002,0.001357
Rucci1,0.917403,0.913083,0.926064,0.000014,0.003694
Si41Ge41H72,0.973044,0.971636,0.974687,0.000001,0.000930
boyd2,0.925503,0.920336,0.932432,0.000012,0.003504
eu-2005,0.959134,0.956490,0.962271,0.000003,0.001616
ldoor,0.964140,0.961931,0.968663,0.000003,0.001616
rajat31,0.918429,0.915010,0.922495,0.000004,0.002062
webbase-1M,0.911634,0.905180,0.917955,0.000015,0.003833
