matrix_id,mean_preprocessing_time_percentage,min_preprocessing_time_percentage,max_preprocessing_time_percentage,mse_preprocessing_time_percentage,stddev_preprocessing_time_percentage
ASIC_680ks,84.922070,83.613553,86.917819,0.941296,0.970204
FullChip,98.773049,98.686233,98.847352,0.002240,0.047332
Ga41As41H72,98.850092,98.726012,98.934799,0.004316,0.065695
Rucci1,98.821824,98.700911,98.963731,0.009067,0.095221
Si41Ge41H72,98.800872,98.638983,98.924489,0.005875,0.076651
boyd2,99.006311,98.828125,99.195754,0.020839,0.144356
eu-2005,98.898130,98.760686,98.991640,0.003391,0.058231
ldoor,98.887184,98.807859,99.057039,0.003362,0.057987
rajat31,98.750648,98.658110,98.821055,0.002317,0.048131
webbase-1M,98.944791,98.674320,99.018528,0.005635,0.075067
