matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
ASIC_680ks,4.501389,3.939000,5.427000,0.094648,0.307649
FullChip,34.446056,32.110000,39.100000,2.909519,1.705731
Ga41As41H72,11.192722,9.464000,13.304000,0.501259,0.707997
Rucci1,12.533889,11.490000,14.692000,0.677233,0.822941
Si41Ge41H72,9.184889,8.452000,9.810000,0.179084,0.423183
boyd2,2.308833,2.044000,2.567000,0.022392,0.149640
eu-2005,22.484389,20.989000,24.509000,0.822228,0.906768
ldoor,28.305556,26.465000,32.324000,2.027952,1.424062
rajat31,30.263444,22.753000,40.149000,10.037077,3.168135
webbase-1M,5.621222,4.947000,6.130000,0.120135,0.346605
