matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
ASIC_680ks,8.671833,7.963000,10.094000,0.251151,0.501149
FullChip,60.713444,58.546000,66.761000,4.527334,2.127753
Ga41As41H72,12.641778,11.844000,14.760000,0.411901,0.641795
Rucci1,24.685611,23.291000,27.578000,1.323014,1.150223
Si41Ge41H72,9.960333,9.237000,10.548000,0.133228,0.365004
boyd2,5.201611,4.798000,5.772000,0.058892,0.242678
eu-2005,27.283556,25.649000,29.288000,1.197161,1.094149
ldoor,32.780000,30.865000,37.304000,2.266621,1.505530
rajat31,58.722667,56.230000,61.686000,2.223039,1.490986
webbase-1M,11.751611,10.926000,12.615000,0.256957,0.506909
