matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
ASIC_680ks,11.996111,10.904000,13.533000,0.597764,0.773152
FullChip,35.090833,32.211000,38.520000,3.393205,1.842065
Ga41As41H72,13.812056,12.402000,14.942000,0.603701,0.776982
Rucci1,14.959556,13.394000,17.157000,1.631358,1.277246
Si41Ge41H72,11.593278,10.066000,13.296000,0.647749,0.804828
boyd2,5.055389,3.904000,6.428000,0.864034,0.929534
eu-2005,25.167111,22.109000,27.486000,2.074132,1.440185
ldoor,29.492611,27.178000,34.678000,2.910020,1.705878
rajat31,31.592389,29.138000,33.862000,1.875703,1.369563
webbase-1M,9.153000,7.317000,9.985000,0.335595,0.579305
