matrix_id,mean_total_gflops,min_total_gflops,max_total_gflops,mse_total_gflops,stddev_total_gflops
ASIC_680ks,0.089500,0.021000,0.121000,0.000862,0.029358
FullChip,0.887278,0.819000,0.923000,0.000756,0.027489
Ga41As41H72,1.417944,0.418000,1.698000,0.138489,0.372141
Rucci1,0.648833,0.621000,0.669000,0.000298,0.017254
Si41Ge41H72,1.610556,1.499000,1.720000,0.005171,0.071912
boyd2,0.304333,0.286000,0.327000,0.000131,0.011441
eu-2005,1.337333,1.254000,1.404000,0.001618,0.040229
ldoor,1.270667,0.879000,1.373000,0.012030,0.109681
rajat31,0.715500,0.572000,0.758000,0.001591,0.039888
webbase-1M,0.502167,0.476000,0.529000,0.000248,0.015752
