matrix_id,mean_total_gflops,min_total_gflops,max_total_gflops,mse_total_gflops,stddev_total_gflops
ASIC_680ks,1.039389,0.858000,1.183000,0.004561,0.067534
FullChip,1.549278,1.362000,1.658000,0.005386,0.073391
Ga41As41H72,1.682444,1.410000,1.982000,0.011070,0.105215
Rucci1,1.248389,1.061000,1.356000,0.006141,0.078363
Si41Ge41H72,1.657944,1.549000,1.798000,0.005847,0.076468
boyd2,0.774389,0.694000,0.871000,0.002490,0.049900
eu-2005,1.713778,1.570000,1.833000,0.004603,0.067848
ldoor,1.681333,1.469000,1.794000,0.006412,0.080072
rajat31,1.356889,1.012000,1.786000,0.019712,0.140399
webbase-1M,1.109056,1.013000,1.255000,0.004867,0.069767
