matrix_id,mean_total_gflops,min_total_gflops,max_total_gflops,mse_total_gflops,stddev_total_gflops
ASIC_680ks,0.538889,0.462000,0.585000,0.000874,0.029569
FullChip,0.878000,0.798000,0.909000,0.000860,0.029326
Ga41As41H72,1.487278,1.271000,1.584000,0.004841,0.069576
Rucci1,0.632444,0.565000,0.669000,0.000822,0.028667
Si41Ge41H72,1.527722,1.441000,1.645000,0.003137,0.056013
boyd2,0.342889,0.308000,0.371000,0.000248,0.015734
eu-2005,1.412333,1.314000,1.500000,0.003096,0.055646
ldoor,1.451222,1.273000,1.538000,0.003983,0.063110
rajat31,0.692444,0.659000,0.723000,0.000305,0.017465
webbase-1M,0.529556,0.492000,0.568000,0.000509,0.022564
