matrix_id,mean_total_gflops,min_total_gflops,max_total_gflops,mse_total_gflops,stddev_total_gflops
ASIC_680ks,0.390000,0.344000,0.427000,0.000609,0.024676
FullChip,1.521389,1.382000,1.653000,0.006233,0.078952
Ga41As41H72,1.362333,1.255000,1.512000,0.006155,0.078452
Rucci1,1.049056,0.908000,1.163000,0.007578,0.087049
Si41Ge41H72,1.317056,1.143000,1.510000,0.008129,0.090163
boyd2,0.364056,0.277000,0.456000,0.004207,0.064865
eu-2005,1.533667,1.400000,1.740000,0.007918,0.088983
ldoor,1.614778,1.369000,1.747000,0.007558,0.086938
rajat31,1.288611,1.200000,1.394000,0.003101,0.055688
webbase-1M,0.681667,0.622000,0.849000,0.002361,0.048595
